1 4.97
2 14.36
3 33.33
4 37.5
5 42.11
6 58.38
7 62.91
8 91.12
9 92.62
10 95.58
11 96.41
12 97.85
13 98.23
14 98.59
15 99.07
16 99.73
17 99.62
18 100.0
19 100.0
20 100.0
